invoice_id,invoice_number,billing_period,billed_amount,customer_id
1,FAC7068,2024-06,39940,1
2,FAC6577,2024-06,76145,2
3,FAC5707,2024-06,179217,3
4,FAC7188,2024-07,52267,4
5,FAC7289,2024-06,157001,5
6,FAC2190,2024-07,33428,6
7,FAC6207,2024-07,75801,7
8,FAC1691,2024-07,17870,8
9,FAC4680,2024-06,22294,9
10,FAC8010,2024-06,193307,10
11,FAC1328,2024-07,159093,11
12,FAC8140,2024-06,175018,12
13,FAC4679,2024-07,110754,13
14,FAC3589,2024-06,163283,14
15,FAC6122,2024-07,22161,15
16,FAC4870,2024-07,196275,16
17,FAC5322,2024-06,20824,17
18,FAC8663,2024-07,191634,18
19,FAC4380,2024-06,62979,19
20,FAC5128,2024-06,37472,20
21,FAC7986,2024-06,128381,21
22,FAC7543,2024-06,26817,22
23,FAC7964,2024-07,147864,23
24,FAC1309,2024-06,153404,24
25,FAC8025,2024-07,14710,25
26,FAC8943,2024-06,49512,26
27,FAC1190,2024-07,40302,27
28,FAC4264,2024-07,27833,28
29,FAC1462,2024-07,30813,29
30,FAC6381,2024-07,134884,30
31,FAC8571,2024-07,29482,31
32,FAC7018,2024-06,158030,32
33,FAC4082,2024-07,196509,33
34,FAC5756,2024-06,69026,34
35,FAC9278,2024-06,166287,35
36,FAC6223,2024-06,179265,36
37,FAC8510,2024-07,98069,37
38,FAC4305,2024-06,153650,38
39,FAC9358,2024-06,87402,39
40,FAC1208,2024-07,97457,40
41,FAC5492,2024-07,145586,41
42,FAC6585,2024-07,163925,42
43,FAC2187,2024-07,186218,43
44,FAC7545,2024-07,160000,44
45,FAC9699,2024-07,94554,45
46,FAC2512,2024-07,153659,46
47,FAC1330,2024-06,165021,47
48,FAC9310,2024-07,115066,48
49,FAC9524,2024-06,161529,49
50,FAC7938,2024-07,167924,50
51,FAC8649,2024-06,147991,51
52,FAC4348,2024-07,124048,52
53,FAC9905,2024-07,138162,53
54,FAC5210,2024-06,161137,54
55,FAC8033,2024-06,35669,55
56,FAC7850,2024-07,68367,56
57,FAC7378,2024-07,58242,57
58,FAC3104,2024-07,114319,58
59,FAC2382,2024-06,37708,59
60,FAC6022,2024-07,54969,60
61,FAC3529,2024-06,51911,61
62,FAC1856,2024-06,45733,62
63,FAC5678,2024-07,100426,63
64,FAC7474,2024-07,32072,64
65,FAC9956,2024-07,123720,65
66,FAC7570,2024-06,17171,66
67,FAC2909,2024-06,57259,67
68,FAC2139,2024-07,197548,68
69,FAC8752,2024-06,93635,69
70,FAC8107,2024-07,58585,70
71,FAC7475,2024-06,87244,71
72,FAC3660,2024-06,55572,72
73,FAC9573,2024-06,51213,73
74,FAC2238,2024-06,129980,74
75,FAC6979,2024-06,42157,75
76,FAC8740,2024-06,127084,76
77,FAC9872,2024-06,191436,77
78,FAC9634,2024-06,78561,78
79,FAC9210,2024-06,163844,79
80,FAC3888,2024-07,80735,80
81,FAC7110,2024-06,158138,81
82,FAC5649,2024-06,102093,82
83,FAC1490,2024-07,104241,83
84,FAC5439,2024-06,41300,84
85,FAC4962,2024-06,90456,85
86,FAC8801,2024-07,165402,86
87,FAC1904,2024-06,107189,87
88,FAC7503,2024-07,23411,88
89,FAC7561,2024-06,11359,89
90,FAC5390,2024-06,79808,90
91,FAC1760,2024-07,43148,91
92,FAC3395,2024-06,102468,92
93,FAC1926,2024-06,116488,93
94,FAC7521,2024-07,61920,94
95,FAC6693,2024-07,142010,95
96,FAC1513,2024-06,39792,96
97,FAC3039,2024-07,88189,97
98,FAC3709,2024-06,179739,98
99,FAC3914,2024-06,106611,99
100,FAC8875,2024-06,142787,100
